category_title,product_id,supplier_id,product_name,unit_price,supplier_name,qty,min_qty
積體電路-IC,MachXO3,Lattice,Mach,132,美商萊迪思半導體股份有限公司,18360,3335
積體電路-IC,可實現硬體信任根的安全FPGA,Lattice,MachXO3D,187,美商萊迪思半導體股份有限公司,27145,3331
積體電路-IC,實現可編程系統控制的硬體安全方案,Lattice,Mach-NX,121,美商萊迪思半導體股份有限公司,18860,3676
類比-IC,Snap™,Lattice,Wireless Connector,247,美商萊迪思半導體股份有限公司,27412,1286
類比-IC,MAVID,Libre Wireless Technologies,"Multiprotocol Audio, Voice, IoT Device",61,Libre Wireless Technologies,10419,689
離散式元件,437A Series,Littelfuse,SMD Fuse,45,利特電子有限公司,1255,2070
離散式元件,AQ1003-01ETG Series,Littelfuse,TVS Diode Array,16,利特電子有限公司,566,4864
離散式元件,AXGD Series,Littelfuse,XTREME-GUARD,203,利特電子有限公司,16536,3903
離散式元件,DSTF40100C,Littelfuse,"2x20A, 100V, ITO-220AB, Common Cathode",212,利特電子有限公司,29475,1779
離散式元件,LSIC1MO120E0080,Littelfuse,"1200 V N-channel, Enhancement-mode SiC MOSFET",192,利特電子有限公司,29244,4405
離散式元件,LSIC1MO170E1000 Series,Littelfuse,Silicon Carbide MOSFET LSIC1MO170E1000,114,利特電子有限公司,8928,3070
離散式元件,TPSMA,Littelfuse,TVS Diode,207,利特電子有限公司,14875,890
類比-IC,HE3300,Littelfuse,Miniature Single In-line Reed Relay,269,利特電子有限公司,3972,2144
類比-IC,SZ1SMB Series,Littelfuse,TVS Diodes,208,利特電子有限公司,23762,4529
記憶體,P800,Longsys,M.2 SSD,32,江波龍電子股份有限公司,7192,2526
記憶體,eMMC,Longsys,eMMC,274,江波龍電子股份有限公司,28392,4584
類比-IC,LUX42604 QSFP,Luxtera,Optical Modules,49,Luxtera,29757,641
類比-IC,LUX62608 OptoPHYs™,Luxtera,OPTO Fiber module,208,Luxtera,17389,4548
微型組件,88SS1092,Marvell,增強型 NVMe SSD 控制器,189,美滿電子科技,12566,4429
微型組件,ARMADA 8K Family,Marvell,Embedded Processors ARMADA Embedded SoCs: 32-bit and 64-bit Multicore SoCs,264,美滿電子科技,12908,2531
微型組件,CNF95XX,Marvell,OCTEON Fusion Baseband DPUs,136,美滿電子科技,827,4109
微型組件,MARVELL 88F3720,Marvell,ARMADA 3700 family,101,美滿電子科技,28279,4394
微型組件,Marvell Avanta,Marvell,Broadband Products,257,美滿電子科技,3491,702
微型組件,Prestera Ethernet Switch Family,Marvell,Ethernet Switch Family,172,美滿電子科技,25627,1604
微型組件,"SATA, SAS, and PCIe expertise enable complete solutions for Enterprise, Datacenter, and Client SSD markets.",Marvell,Storage Solutions,253,美滿電子科技,8435,2682
類比-IC,88E2010,Marvell,Alaska M Multi-Gigabit Ethernet PHYs,18,美滿電子科技,15620,4731
類比-IC,88X93160,Marvell,Alaska C Ethernet Transceiver,225,美滿電子科技,26234,2933
類比-IC,98DX325x,Marvell,Prestera DX Ethernet Switch Family,160,美滿電子科技,7925,4722
類比-IC,Alaska 88E1512,Marvell,Energy Efficient Ethernet Transceiver,27,美滿電子科技,12964,4450
類比-IC,Prestera 98CX8129,Marvell,Prestera CX 以太網交換機芯片系列,19,美滿電子科技,17975,4774
積體電路-IC,MCDP28x0,MegaChips,DisplayPort to Converter,79,MegaChips,22741,1329
積體電路-IC,MCDP2900,MegaChips,DisplayPort to HDMI Converter,52,MegaChips,3016,2838
積體電路-IC,STDP26xx,MegaChips,Display Port,235,MegaChips,18859,1551
積體電路-IC,STDP4300,MegaChips,DisplayPort,53,MegaChips,10186,2252
光電產品,MLX75027,Melexis,Automotive VGA Time-of-Flight Sensor,14,Melexis,21597,1247
非光學傳感器,MLX90632,Melexis,數位紅外線溫度傳感器,39,Melexis,4433,1928
類比-IC,PST8xxx,MinebeaMitsumi,Reset IC,281,MinebeaMitsumi,11760,3516
類比-IC,HR 1203,Monolithic Power Systems,High-Performance Digital PFC + LLC Combo Controller,97,芯源系統有限公司,15864,4509
類比-IC,MP175,Monolithic Power Systems,HV Buck Regulators,224,芯源系統有限公司,18978,1430
類比-IC,MP2330C,Monolithic Power Systems,"24V, 3A, Synchronous Buck Converter",150,芯源系統有限公司,14280,2288
類比-IC,MP26085,Monolithic Power Systems,CC/CV Controller,63,芯源系統有限公司,12782,4334
類比-IC,MP26124,Monolithic Power Systems,Switching Chargers,149,芯源系統有限公司,9198,3876
類比-IC,MP2965,Monolithic Power Systems,雙路數位多相控制器,247,芯源系統有限公司,10360,3345
類比-IC,MP3416,Monolithic Power Systems,Synchronous Converters,40,芯源系統有限公司,28250,4502
類比-IC,MP6516,Monolithic Power Systems,H-Bridge Motor Driver,23,芯源系統有限公司,19888,2341
類比-IC,MP6530,Monolithic Power Systems,60V 3-Phase BLDC Motor Pre-Driver,282,芯源系統有限公司,16545,828
類比-IC,MP6925A,Monolithic Power Systems,Synchronous Rectifier,81,芯源系統有限公司,3164,2456
類比-IC,MP8110,Monolithic Power Systems,High-Side Current Sense Amplifiers,240,芯源系統有限公司,2908,4970
類比-IC,MPQ4214,Monolithic Power Systems,Buck-Boost Controller,162,芯源系統有限公司,14472,3352
嵌入式模組,,NVIDIA,Jetson Xavier NX 16GB,270,香港商輝達香港控股有限公司台灣分公司,2693,4676
嵌入式模組,,NVIDIA,Jetson AGX Xavier 64GB,298,香港商輝達香港控股有限公司台灣分公司,19024,2828
嵌入式模組,,NVIDIA,Jetson AGX Xavier™ Industrial,90,香港商輝達香港控股有限公司台灣分公司,29466,4248
嵌入式模組,,NVIDIA,JETSON TX2 NX,135,香港商輝達香港控股有限公司台灣分公司,11828,1056
嵌入式模組,,NVIDIA,Jetson Nano™ 2GB Developer Kit,161,香港商輝達香港控股有限公司台灣分公司,1365,2578
嵌入式模組,,NVIDIA,Jetson Xavier NX Developer Kit,280,香港商輝達香港控股有限公司台灣分公司,5400,3699
嵌入式模組,,NVIDIA,Jetson Nano Developer Kit,81,香港商輝達香港控股有限公司台灣分公司,4391,2278
嵌入式模組,,NVIDIA,Jetson Xavier NX Module,107,香港商輝達香港控股有限公司台灣分公司,21322,2894
嵌入式模組,,NVIDIA,NVIDIA EGX Edge Computing Platform,49,香港商輝達香港控股有限公司台灣分公司,7106,4435
嵌入式模組,,NVIDIA,Jetson Nano Module,213,香港商輝達香港控股有限公司台灣分公司,15626,3932
嵌入式模組,,NVIDIA,Jetson AGX Xavier Developer Kit,209,香港商輝達香港控股有限公司台灣分公司,27936,3443
嵌入式模組,,NVIDIA,Jetson TX2 Developer Kit,299,香港商輝達香港控股有限公司台灣分公司,550,3391
嵌入式模組,,NVIDIA,JETSON TX2 Module,110,香港商輝達香港控股有限公司台灣分公司,25289,2162
嵌入式模組,,NVIDIA,Jetson Xavier NX 16GB,67,香港商輝達香港控股有限公司台灣分公司,22734,2012
嵌入式模組,,NVIDIA,Jetson AGX Xavier 64GB,256,香港商輝達香港控股有限公司台灣分公司,22336,4403
嵌入式模組,,NVIDIA,Jetson AGX Xavier™ Industrial,22,香港商輝達香港控股有限公司台灣分公司,16270,4361
嵌入式模組,,NVIDIA,JETSON TX2 NX,124,香港商輝達香港控股有限公司台灣分公司,13606,827
嵌入式模組,,NVIDIA,Jetson Nano™ 2GB Developer Kit,67,香港商輝達香港控股有限公司台灣分公司,19681,4477
嵌入式模組,,NVIDIA,Jetson Xavier NX Developer Kit,45,香港商輝達香港控股有限公司台灣分公司,10554,1044
嵌入式模組,,NVIDIA,Jetson Nano Developer Kit,90,香港商輝達香港控股有限公司台灣分公司,14094,2019
嵌入式模組,,NVIDIA,Jetson Xavier NX Module,79,香港商輝達香港控股有限公司台灣分公司,29201,3710
嵌入式模組,,NVIDIA,NVIDIA EGX Edge Computing Platform,228,香港商輝達香港控股有限公司台灣分公司,7122,760
嵌入式模組,,NVIDIA,Jetson Nano Module,144,香港商輝達香港控股有限公司台灣分公司,18239,2608
嵌入式模組,,NVIDIA,Jetson AGX Xavier Developer Kit,167,香港商輝達香港控股有限公司台灣分公司,1507,4625
嵌入式模組,,NVIDIA,Jetson TX2 Developer Kit,231,香港商輝達香港控股有限公司台灣分公司,12669,3670
嵌入式模組,,NVIDIA,JETSON TX2 Module,17,香港商輝達香港控股有限公司台灣分公司,20334,913
離散式元件,OSG65R099JF,Orientalsemi,GreenMOS,273,蘇州東微半導體有限公司,3194,3608
離散式元件,SFG10R10xF,Orientalsemi,SFGMOS,141,蘇州東微半導體有限公司,16345,2859
離散式元件,,Power Integrations,LED Driver Products,252,荷蘭商包爾英特,15030,1511
離散式元件,integrated high-voltage ICs,Power Integrations,IoT,139,荷蘭商包爾英特,17474,1408
類比-IC,INN3977CQ/INN3996CQ/INN3947CQ/INN3949CQ,Power Integrations,InnoSwitch3-AQ,180,荷蘭商包爾英特,9580,2704
類比-IC,InnoSwitch3-Pro,Power Integrations,InnoSwitch系列,154,荷蘭商包爾英特,18631,2850
光電產品,PPS3MVCD,Prophesee,動態視覺感測器,277,Prophesee,27293,3105
嵌入式模組,EOS S3 EVB,QuickLogic,QuickFeather Development Board,242,QuickLogic,4335,1397
嵌入式模組,EOS S3 EVB,QuickLogic,QuickFeather Development Board,90,QuickLogic,29710,1757
軟體類,000,QuickLogic,SensiML Analytics Toolkit,212,QuickLogic,22990,2845
光電產品,BH1790GLC,ROHM,高速脈搏感測IC，可量測壓力和血管年齡,288,羅姆半導體股份有限公司,21659,1884
嵌入式模組,BSMXXXX series,ROHM,Silicon Carbide Power Module,252,羅姆半導體股份有限公司,15185,1334
嵌入式模組,BSMXXXX series,ROHM,Silicon Carbide Power Module,44,羅姆半導體股份有限公司,9527,2789
離散式元件,CDZCV6.8B,ROHM,"5.0V 3.0pF, SOD-923, 瞬態電壓抑制器",158,羅姆半導體股份有限公司,22010,537
離散式元件,"SCTXXXX series, SCHXXXX series",ROHM,Silicon Carbide MOSFET,227,羅姆半導體股份有限公司,26255,652
離散式元件,SMF20VTR,ROHM,SMF20V--瞬態電壓抑制器,233,羅姆半導體股份有限公司,21888,2184
離散式元件,VS3V3BA1FS,ROHM,RASMID™ 系列 - TVS二極體,264,羅姆半導體股份有限公司,24209,4367
離散式元件,VS5V0BC1ES,ROHM,RASMID™系列 - TVS二極體,18,羅姆半導體股份有限公司,26463,864
類比-IC,,ROHM,IoT sensors,258,羅姆半導體股份有限公司,13288,1000
類比-IC,BD6586MUV,ROHM,升壓型LED驅動器,295,羅姆半導體股份有限公司,26504,2543
類比-IC,BD70522GUL,ROHM,Ultra Low Iq Buck Converter,118,羅姆半導體股份有限公司,14039,1386
類比-IC,BD86852MUF-C,ROHM,PMIC for Automotive Camera,102,羅姆半導體股份有限公司,16285,2154
類比-IC,BU18TD3WG,ROHM,CMOS LDO Regulators 1ch 200mA,118,羅姆半導體股份有限公司,8851,4152
類比-IC,BUxxSA5WGWZ,ROHM,CMOS LDO穩壓器,93,羅姆半導體股份有限公司,8549,3421
類比-IC,Linear Regulators,ROHM,LDO,85,羅姆半導體股份有限公司,23942,1444
非光學傳感器,ZMOD4410,Renesas,Indoor Air Quality Platform featuring Embedded Artificial Intelligence (AI),150,瑞薩電子,20334,3082
測試及測量,,Rohde & Schwarz,Power Supplies Series,33,羅德史瓦茲,19738,4056
測試及測量,EMC-SET EMC Precompliance Set,Rohde & Schwarz,EMC Precompliance,229,羅德史瓦茲,20370,3124
測試及測量,FPC1000,Rohde & Schwarz,Spectrum Analyzers,120,羅德史瓦茲,13864,1575
測試及測量,HM8150 Arbitrary Function Generator,Rohde & Schwarz,Signal Generators,211,羅德史瓦茲,19538,4364
測試及測量,HMC8012 Digital Multimeter,Rohde & Schwarz,Meters & Counters,173,羅德史瓦茲,12159,1571
測試及測量,HMC8015,Rohde & Schwarz,Power Analyzer,19,羅德史瓦茲,15933,3893
測試及測量,NGP800,Rohde & Schwarz,R&S NGP800 Power Supply Series,132,羅德史瓦茲,14127,4570
測試及測量,QAR-K,Rohde & Schwarz,R&S®QAR 優質汽車電子天線罩測試儀,105,羅德史瓦茲,3354,4970
測試及測量,R&S®NRP2 Power Meter,Rohde & Schwarz,Power Meters & Sensors,186,羅德史瓦茲,19060,2678
測試及測量,RTA4000,Rohde & Schwarz,RTA4000 oscilloscope,276,羅德史瓦茲,12428,2853
測試及測量,RTB2000,Rohde & Schwarz,RTB2000 oscilloscope,140,羅德史瓦茲,8369,3456
測試及測量,RTH Scope Rider,Rohde & Schwarz,Handheld Analyzers,43,羅德史瓦茲,5837,1812
測試及測量,RTM3000,Rohde & Schwarz,RTM3000 oscilloscope,149,羅德史瓦茲,19771,4436
測試及測量,RTO2000,Rohde & Schwarz,Oscilloscopes,238,羅德史瓦茲,9457,3767
測試及測量,Spectrum Rider FPH,Rohde & Schwarz,Spectrum Rider FPH handheld spectrum analyzer,68,羅德史瓦茲,9586,4200
測試及測量,ZND Vector Network Analyzers,Rohde & Schwarz,Network Analyzers,130,羅德史瓦茲,12719,4298
微型組件,STA1095,STMicroelectronics,Accordo2,14,意法半導體,1331,1612
微型組件,STA1295,STMicroelectronics,Accordo 5 Dual Core 32-bit ARM Cortex-A7,83,意法半導體,1512,2987
微型組件,STM32F439II,STMicroelectronics,ARM Cortex-M4 MCU,152,意法半導體,5362,2692
微型組件,STM32F446ZC,STMicroelectronics,32-bit Arm Cortex MCUs,243,意法半導體,14264,1339
微型組件,STM32L476JG,STMicroelectronics,MCU,211,意法半導體,18820,517
微型組件,STM32WB,STMicroelectronics,STM32WB series MCU with built-in Bluetooth® 5.0 and IEEE 802.15.4,151,意法半導體,26274,1134
微型組件,STRG06,STMicroelectronics,Universal digital multicell controller with PMBus,124,意法半導體,23572,2551
積體電路-IC,MP23ABS1,STMicroelectronics,High-performance MEMS audio sensor,75,意法半導體,26224,3499
記憶體,M95010-R,STMicroelectronics,Electrically Erasable Programmable Memories (EEPROMs),155,意法半導體,1039,2039
記憶體,Memories,STMicroelectronics,Serial EEPROM,283,意法半導體,27931,1320
記憶體,Memories,STMicroelectronics,NVRAM,132,意法半導體,28200,3977
離散式元件,ST25DV02K-W1,STMicroelectronics,Dynamic NFC/RFID tag IC with 2-Kbit EEPROM and 1x PWM (Pulse Width Modulation) output,68,意法半導體,21937,4565
非光學傳感器,LIS25BA,STMicroelectronics,Bone Conduction Sensor,49,意法半導體,5576,4778
非光學傳感器,LIS2DH12,STMicroelectronics,MEMS digital output motion,291,意法半導體,18919,1390
非光學傳感器,LIS2DS12,STMicroelectronics,G-Sensor,219,意法半導體,20007,1042
非光學傳感器,LIS2MDL,STMicroelectronics,Magnetic Sensor,229,意法半導體,24359,1039
非光學傳感器,LSM303AH,STMicroelectronics,e-Compass,144,意法半導體,1836,1067
非光學傳感器,LSM6DSOX,STMicroelectronics,Gyroscope + G-Sensor,258,意法半導體,13317,4530
非光學傳感器,LSM6DSR,STMicroelectronics,Always-on 3D accelerometer and 3D gyroscope,228,意法半導體,13875,3750
類比-IC,Automotive Analog and Power,STMicroelectronics,Automotive Analog and Power,247,意法半導體,8849,4136
類比-IC,BALF-NRG-01D3,STMicroelectronics,BlueNRG收發器/諧波濾波器,113,意法半導體,2717,2356
類比-IC,BlueNRG-1,STMicroelectronics,藍牙 (BLE) SoC,136,意法半導體,4458,4466
類比-IC,ESDCAN03-2BWY,STMicroelectronics,Automotive dual-line TVS in SOT323-3L for CAN bus,88,意法半導體,15409,4563
類比-IC,LD39130S,STMicroelectronics,Ultra Low Dropout LDO regulators,275,意法半導體,20875,2683
類比-IC,ST25 NFC,STMicroelectronics,RFID Tags & Readers,275,意法半導體,7072,2984
類比-IC,ST25DV04K,STMicroelectronics,ST25DV-I2C series Dynamic NFC Tags,129,意法半導體,19771,1543
類比-IC,STSPIN240,STMicroelectronics,Low voltage dual brush DC motor driver,87,意法半導體,18774,1895
類比-IC,VNH7100BAS,STMicroelectronics,VIPower M0-7系列H橋用於直流馬達控制,207,意法半導體,8830,2568
非光學傳感器,SNT8XXX,Sentons,超聲波傳感器,101,香港商顯通香港科技有限公司,13054,3317
測試及測量,SZ1110,Silanna,Flyback PWM Controller with Integrated Active Clamp Circuit,83,Silanna,26204,4922
嵌入式模組,,Silicon Labs,Wi-Fi Xpress AMW037 Wi-Fi® Module,30,芯科科技,27317,771
嵌入式模組,,Silicon Labs,Bluetooth Xpress BGX13P Bluetooth® Module,126,芯科科技,21899,3361
嵌入式模組,,Silicon Labs,無線和射頻解决方案,221,芯科科技,19708,1108
嵌入式模組,,Silicon Labs,Wi-Fi Xpress AMW037 Wi-Fi® Module,158,芯科科技,13760,2206
嵌入式模組,,Silicon Labs,Bluetooth Xpress BGX13P Bluetooth® Module,149,芯科科技,6341,2038
嵌入式模組,,Silicon Labs,無線和射頻解决方案,12,芯科科技,2113,3744
嵌入式模組,BGX13S22GA,Silicon Labs,Bluetooth Low Energy Wireless Xpress BGX13,143,芯科科技,11991,1088
嵌入式模組,BGX13S22GA,Silicon Labs,Bluetooth Low Energy Wireless Xpress BGX13,71,芯科科技,21987,564
嵌入式模組,EFR32ZG,Silicon Labs,Z-Wave Modem SoC,273,芯科科技,13957,3053
嵌入式模組,EFR32ZG,Silicon Labs,Z-Wave Modem SoC,12,芯科科技,26312,2254
嵌入式模組,Giant Gecko GG11 Series 1,Silicon Labs,EFM32™ Giant Gecko (32-bit MCU),226,芯科科技,21203,4192
嵌入式模組,Giant Gecko GG11 Series 1,Silicon Labs,EFM32™ Giant Gecko (32-bit MCU),212,芯科科技,26532,1613
嵌入式模組,RS9116N-SB00-B00,Silicon Labs,RS9116Wi-Fi 收發器模組,221,芯科科技,5477,1641
嵌入式模組,RS9116N-SB00-B00,Silicon Labs,RS9116Wi-Fi 收發器模組,142,芯科科技,19276,532
嵌入式模組,SLWSTK6021A,Silicon Labs,EFR32xG22 無線 Gecko 入門套件,118,芯科科技,26802,1076
嵌入式模組,SLWSTK6021A,Silicon Labs,EFR32xG22 無線 Gecko 入門套件,184,芯科科技,18012,3223
嵌入式模組,Series 2 Proprietary Wireless 2.4 GHz SoC,Silicon Labs,EFR32FG22,286,芯科科技,17356,1917
嵌入式模組,Series 2 Proprietary Wireless 2.4 GHz SoC,Silicon Labs,EFR32FG22,71,芯科科技,26033,4538
嵌入式模組,Series 2 Zigbee SoC,Silicon Labs,EFR32MG22,196,芯科科技,8004,524
嵌入式模組,Series 2 Zigbee SoC,Silicon Labs,EFR32MG22,133,芯科科技,6956,819
嵌入式模組,"Z-Wave 500, Z-Wave 700",Silicon Labs,Z-Wave 智慧家庭無線解決方案,169,芯科科技,11913,1390
嵌入式模組,"Z-Wave 500, Z-Wave 700",Silicon Labs,Z-Wave 智慧家庭無線解決方案,148,芯科科技,15305,849
微型組件,EFM8BB5,Silicon Labs,EFM8 BB5 8 位元微控制器 (MCU),51,芯科科技,26920,1344
非光學傳感器,CPT112S,Silicon Labs,12 Channel TouchXpress Capacitive Touch Controller,290,芯科科技,23840,1487
非光學傳感器,Si1143/44,Silicon Labs,Biometric Sensors,195,芯科科技,10531,3877
類比-IC,EFR32BG24,Silicon Labs,EFR32BG24 藍牙® 無線 SoC,153,芯科科技,6859,4755
類比-IC,EFR32MG24,Silicon Labs,EFR32MG24 多重協定無線 SoC,257,芯科科技,22579,4969
類比-IC,MCU+BLE,Silicon Labs,EFR32BG22系列藍牙單晶片/ SoC,105,芯科科技,19695,1074
類比-IC,SM6125NSKP,Sinopower,N-Channel Enhancement Mode MOSFET,267,大中積體電路,2825,3684
積體電路-IC,Si5332,Skyworks,Highly Integrated Clock Generator for 10/25/100G,286,美商思佳訊半導體有限公司,503,3442
積體電路-IC,Si538x,Skyworks,"Wireless Clock Jitter Attenuator, Jitter Cleaner",32,美商思佳訊半導體有限公司,10092,4691
積體電路-IC,Si5391,Skyworks,Ultra Low-Jitter Clock Generator,239,美商思佳訊半導體有限公司,8872,1954
積體電路-IC,Si539x,Skyworks,"Clock Jitter Attenuators, Jitter Cleaners",250,美商思佳訊半導體有限公司,6873,3320
被動元件,Si54x Ultra Series™,Skyworks,High Performance Crystal Oscillators,201,美商思佳訊半導體有限公司,7690,3921
類比-IC,SKY66430-11,Skyworks,5G Massive IoT System-in-Package,108,美商思佳訊半導體有限公司,14272,3794
類比-IC,SKY85747-11 / SKY85333-11,Skyworks,WLan Front-end Modules,91,美商思佳訊半導體有限公司,16162,3818
光電產品,"IMX307LQD/LQR,  IMX335LLN/LQN, IMX412-AACK, IMX323LQN",Sony Semiconductor,STARVIS CMOS 影像感測器,118,Sony Semiconductor,7272,3831
光電產品,IMX490,Sony Semiconductor,CMOS Image Sensor for Automotive Cameras,68,Sony Semiconductor,1611,3279
光電產品,ISX019,Sony Semiconductor,CMOS Image Sensor for Automotive,60,Sony Semiconductor,16160,2476
光電產品,"ISX019, IMX290, IMX224, IMX390, IMX490",Sony Semiconductor,車用CMOS影像感測器解決方案,279,Sony Semiconductor,29983,2134
微型組件,CXD3781,Sony Semiconductor,Audio Codec IC,57,Sony Semiconductor,1514,3342
非光學傳感器,CXD5603GF,Sony Semiconductor,GPS,183,Sony Semiconductor,11820,1680
非光學傳感器,CXD5605,Sony Semiconductor,GPS/GNSS Receiver,67,Sony Semiconductor,6911,3291
